Archive,Address,Current URL / Directory,Title,Description,New URL (update only if changed),Redirect ONLY URL,New tags
,https://developer.chrome.com/blog/,/blog/,Blog,Build the next generation of web experiences.,/blog,,
,https://developer.chrome.com/articles/cors-rfc1918-feedback/,/articles/cors-rfc1918-feedback/,Feedback wanted: CORS for private networks (RFC1918),Unintentional exposure of devices and servers on a client’s internal network to the web at large makes them vulnerable to malicious attacks. CORS-RFC1918 is a proposal to block requests from public networks by default on the browser and require internal devices to opt-in to such requests.,/blog/cors-rfc1918-feedback,,
,https://developer.chrome.com/aurora/,/aurora/,The Aurora Project,A collaboration between Chrome and open-source web frameworks to improve user experience on the web,/docs/aurora,,
,https://developer.chrome.com/blog/aurora-resource-inlining/,/blog/aurora-resource-inlining/,Resource inlining in JavaScript frameworks,Learn about the latest optimizations implemented in JavaScript frameworks in collaboration with project Aurora.,/docs/aurora/aurora-resource-inlining,,
,https://developer.chrome.com/blog/image-component/,/blog/image-component/,Building an effective Image Component,Images are a common source of performance bottlenecks for web applications and a key focus area for optimization. This article explains how the Aurora team at Google designed a powerful image component in Next.js that is built-in with a number of optimizations via a developer-friendly interface. This post discusses how the component was designed and the lessons we learned along the way.,/docs/aurora/image-component/,,
,https://developer.chrome.com/articles/inp-in-frameworks/,/articles/inp-in-frameworks/,How do modern frameworks perform on the new INP metric,This post discusses the relevance of the new INP metric to framework-based websites and Aurora's work to support frameworks in optimizing this metric.,/docs/aurora/inp-in-frameworks/,,
,https://developer.chrome.com/blog/introducing-aurora/,/blog/introducing-aurora/,Introducing Aurora,"This article introduces Aurora, a Chrome initiative to collaborate closely with open-source frameworks",/docs/aurora/overview/,,
,https://developer.chrome.com/blog/aurora-update-2023/,/blog/aurora-update-2023/,What's New with Aurora?,Learn what the Chrome Aurora team has been up to lately and their roadmap for 2023.,/docs/aurora/update-2023/,,
,https://developer.chrome.com/articles/urlpattern/,/articles/urlpattern/,URLPattern brings routing to the web platform,An approach to standardizing common pattern matching use cases.,/docs/best-practices/urlpattern/,,
,https://developer.chrome.com/articles/bluetooth/,/articles/bluetooth/,Communicating with Bluetooth devices over JavaScript,The Web Bluetooth API allows websites to communicate with Bluetooth devices.,/docs/capabilities/hardware-apis/bluetooth/,,
,https://developer.chrome.com/articles/browser-fs-access/,/articles/browser-fs-access/,Reading and writing files and directories with the browser-fs-access library,"All modern browsers can read local files and directories; however, true write access, that is, more than just downloading files, is limited to browsers that implement the File System Access API. This post introduces a support library called browser-fs-access that acts as an abstraction layer on top of the File System Access API and that transparently falls back to legacy approaches for dealing with files.",/docs/capabilities/hardware-apis/browser-fs-access/,,
,https://developer.chrome.com/articles/hid/,/articles/hid/,Connecting to uncommon HID devices,The WebHID API allows websites to access alternative auxiliary keyboards and exotic gamepads.,/docs/web-android/post-message-twa/,,
,https://developer.chrome.com/articles/nfc/,/articles/nfc/,Interact with NFC devices on Chrome for Android,Reading and writing to NFC tags is now possible on Chrome for Android.,/docs/capabilities/hardware-apis/nfc/,,E:category:WebSecurity
,https://developer.chrome.com/articles/usb/,/articles/usb/,Access USB Devices on the Web,The WebUSB API makes USB safer and easier to use by bringing it to the Web.,/docs/capabilities/hardware-apis/usb,,
,https://developer.chrome.com/articles/periodic-background-sync/,/articles/periodic-background-sync/,Richer offline experiences with the Periodic Background Sync API,"Periodic Background Sync enables web applications to periodically synchronize data in the background, bringing web apps closer to the behavior of an iOS/Android/desktop app.",/docs/capabilities/periodic-background-sync/,,
,https://developer.chrome.com/articles/pwa-url-handler/,/articles/pwa-url-handler/,PWAs as URL Handlers,"After registering a PWA as a URL handler, when a user clicks on a hyperlink that matches one of the registered URL patterns, the registered PWA will open.",/docs/capabilities/pwa-url-handler/,,
,https://developer.chrome.com/articles/serial/,/articles/serial/,Read from and write to a serial port,The Web Serial API bridges the web and the physical world by allowing websites to communicate with serial devices.,/docs/capabilities/serial/,,
,https://developer.chrome.com/articles/shape-detection/,/articles/shape-detection/,"The Shape Detection API: a picture is worth a thousand words, faces, and barcodes","The Shape Detection API detects faces, barcodes, and text in images.",/docs/capabilities/shape-detection/,,
,https://developer.chrome.com/blog/fugu-status/,/blog/fugu-status/,New capabilities status,Web apps should be able to do anything platform-specific apps can. We want to make it possible for you to build and deliver apps on the web that weren't possible before.,/docs/capabilities/status/,,
,https://developer.chrome.com/articles/badging-api/,/articles/badging-api/,Badging for app icons,"The App Badging API allows installed web apps to set an application-wide badge, shown in an operating-system-specific place associated with the application, such as the shelf or home screen. Badging makes it easy to subtly notify the user that there is some new activity that might require their attention, or it can be used to indicate a small amount of information, such as an unread count.",/docs/capabilities/web-apis/badging-api/,,E:category:API
,https://developer.chrome.com/articles/contact-picker/,/articles/contact-picker/,A contact picker for the web,"Access to the user's contacts has been a feature of iOS/Android apps since (almost) the dawn of time. The Contact Picker API is an on-demand API  that allows users to select an entry or entries from their contact list and share limited details of the selected contact(s) with a website. It allows users to share only what they want, when they want, and makes it easier for users to reach and connect with their friends and family.",/docs/capabilities/web-apis/contact-picker/,,E:category:API
,https://developer.chrome.com/articles/content-indexing-api/,/articles/content-indexing-api/,Indexing your offline-capable pages with the Content Indexing API,"Your PWA might cache articles and media files, but how will your users know that your pages work while offline? The Content Indexing API is one answer to this question. Once the index is populated with content from your PWA, as well as any other installed PWAs, it will show up in dedicated areas of supported browsers.",/docs/capabilities/web-apis/content-indexing-api/,,
,https://developer.chrome.com/articles/eyedropper/,/articles/eyedropper/,Picking colors of any pixel on the screen with the EyeDropper API,"Creative application developers can use the EyeDropper API to implement a picker that allows users to select colors from pixels on their screen, including those outside the browser.",/docs/capabilities/web-apis/eyedropper/,,
,https://developer.chrome.com/articles/fetch-streaming-requests/,/articles/fetch-streaming-requests/,Streaming requests with the fetch API,"Chromium now supports upload streaming as of version 105, which means you can start a request before you have the whole body available.",/docs/capabilities/web-apis/fetch-streaming-requests/,,
,https://developer.chrome.com/articles/file-handling/,/articles/file-handling/,Let installed web applications be file handlers,Build the next generation of web experiences.,/docs/capabilities/web-apis/file-handling/,,
,https://developer.chrome.com/articles/file-system-access/,/articles/file-system-access/,The File System Access API: simplifying access to local files,"The File System Access API enables developers to build powerful web apps that interact with files on the user's local device, such as IDEs, photo and video editors, text editors, and more. After a user grants a web app access, this API allows them to read or save changes directly to files and folders on the user's device.",/docs/capabilities/web-apis/file-system-access/,,
,https://developer.chrome.com/articles/generic-sensor/,/articles/generic-sensor/,Sensors for the web,Sensors are used in many applications to enable advanced features like games that take the orientation or the acceleration of the device they run on into account. The Generic Sensor API provides a generic interface for accessing such sensor data on the web.,/docs/capabilities/web-apis/generic-sensor/,,
,https://developer.chrome.com/articles/gpu-compute/,/articles/gpu-compute/,Get started with GPU Compute on the web,"This post explores the experimental WebGPU API through examples and helps
you get started with performing data-parallel computations using the GPU.",/docs/capabilities/web-apis/gpu-compute/,,E:api:WebGPU
,https://developer.chrome.com/articles/hid-examples/,/articles/hid-examples/,Human interface devices on the web: a few quick examples,"There is a long tale of human interface devices (HID) that are too new, too old, or too uncommon to be accessible by systems' device drivers. The WebHID API solves this by providing a way to implement device-specific logic in JavaScript.",/docs/capabilities/web-apis/hid-examples/,,
,https://developer.chrome.com/articles/idle-detection/,/articles/idle-detection/,Detect inactive users with the Idle Detection API,"The Idle Detection API notifies developers when a user is idle, indicating such things as lack of interaction with the keyboard, mouse, screen, activation of a screensaver, locking of the screen, or moving to a different screen. A developer-defined threshold triggers the notification.",/docs/capabilities/web-apis/idle-detection/,,
,https://developer.chrome.com/articles/isinputpending/,/articles/isinputpending/,Better JS scheduling with isInputPending(),A new JavaScript API that may help you avoid the trade-off between load performance and input responsiveness.,/docs/capabilities/web-apis/isinputpending/,,
,https://developer.chrome.com/articles/keyboard-lock/,/articles/keyboard-lock/,Capture Keys with the Keyboard Lock API,The Keyboard Lock API allows websites to capture keys that are normally reserved by the underlying operating system. It is intended for web applications that provide a full screen immersive experience (like games or remote access apps).,/docs/capabilities/web-apis/keyboard-lock/,,
,https://developer.chrome.com/articles/local-fonts/,/articles/local-fonts/,Use advanced typography with local fonts,The Local Font Access API enumerates the user's installed local fonts and provides low-level access to the various TrueType/OpenType tables,/docs/capabilities/web-apis/local-fonts/,,
,https://developer.chrome.com/articles/mediastreamtrack-insertable-media-processing/,/articles/mediastreamtrack-insertable-media-processing/,Insertable streams for MediaStreamTrack,Insertable streams for MediaStreamTrack is about exposing the content of a MediaStreamTrack as a stream that can be manipulated or used to generate new content.,/docs/capabilities/web-apis/mediastreamtrack-insertable-media-processing/,,
,https://developer.chrome.com/articles/reporting-api/,/articles/reporting-api/,Monitor your web application with the Reporting API,"Use the Reporting API to monitor security violations, deprecated API calls, and more.",/docs/capabilities/web-apis/reporting-api/,,
,https://developer.chrome.com/articles/reporting-observer/,/articles/reporting-observer/,Know your code health with the `ReportingObserver` API,"ReportingObserver lets you know when your site uses a deprecated API or runs into a browser intervention. The basic functionality originally landed in Chrome 69. As of Chrome 84, it can be used in workers. It's pretty simple.",/docs/capabilities/web-apis/reporting-observer/,,
,https://developer.chrome.com/articles/wake-lock/,/articles/wake-lock/,Stay awake with the Screen Wake Lock API,"To avoid draining the battery, most devices will quickly fall asleep when left idle. While this is fine most of the time, there are some applications that need to keep the screen awake in order to complete some work. The Screen Wake Lock API provides a way to prevent the device from dimming or locking the screen when an application needs to keep running.",/docs/capabilities/web-apis/wake-lock/,,
,https://developer.chrome.com/articles/web-share-target/,/articles/web-share-target/,Receiving shared data with the Web Share Target API,"On a mobile or desktop device, sharing should be as simple as clicking the Share button, choosing an app, then choosing who to share with. The Web Share Target API allows installed web apps to register with the underlying operating system to receive shared content.",/docs/capabilities/web-apis/web-share-target/,,
,https://developer.chrome.com/articles/websocketstream/,/articles/websocketstream/,WebSocketStream: integrating streams with the WebSocket API,WebSocketStream integrates streams with the WebSocket API. This allows your app to apply backpressure to received messages.,/docs/capabilities/web-apis/websocketstream/,,
